Razão.Social,Resultado.Bruto.1,Resultado.Bruto.2
PORTO SEGURO S.A.,13.202.342,13.223.327
PORTO SUDESTE V.M. S.A.,0,0
POSITIVO TECNOLOGIA S.A.,1.789.529,1.876.199
PPLA PARTICIPATIONS LTD.,0,0
PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,33.582,41.417
PRINER SERVIÇOS INDUSTRIAIS S.A.,26.518,33.96
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,2.212,2.748
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,2.890.224,3.149.602
PROMPT PARTICIPACOES S.A.,0,0
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,3.549.313,4.294.687
QUALITY SOFTWARE S.A.,99.272.904,106.603.469
RAIA DROGASIL S.A.,3.247.733,3.787.359
RAIZEN ENERGIA S.A.,700.554,994.426
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,733.035,954.691
RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,5.499,12.52
RB CAPITAL SECURITIZADORA S.A.,427,1.891
REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.,0,0
RECRUSUL S.A.,198,3.531
REDE ENERGIA PARTICIPAÇÕES S.A.,1.378.022,1.696.294
REFINARIA DE PETROLEOS MANGUINHOS S.A.,123.02,19.25
RENOVA ENERGIA S.A.,2.628.385,2.315.598
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,3.708.429,4.355.335
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,435.124,1.229.704
RIO PARANAPANEMA ENERGIA S.A.,362.284,457.94
RNI NEGÓCIOS IMOBILIÁRIOS S.A.,1.191.637,1.321.745
RODOVIAS DAS COLINAS S.A.,244.94,292.977
ROSSI RESIDENCIAL S.A.,2.542.246,2.171.735
RUMO MALHA NORTE S.A.,1.233.202,1.314.987
RUMO MALHA PAULISTA S.A.,43.501,180.633
RUMO S.A.,27.134.113,31.721.684
SALUS INFRAESTRUTURA PORTUARIA SA,25.772,27.141
SANESALTO SANEAMENTO S.A.,12.318,12.024
SANSUY S.A. INDUSTRIA DE PLASTICOS,27.727,26.547
SANTHER FAB DE PAPEL STA THEREZINHA S.A.,350.783,372.441
SANTO ANTONIO ENERGIA S.A.,314.392,553.159
SANTOS BRASIL PARTICIPACOES S.A.,2.858.331,3.203.628
SAO CARLOS EMPREEND E PARTICIPACOES S.A.,2.723.444,2.766.696
SAO MARTINHO S.A.,9.748.722,11.528.431
SAO PAULO TURISMO S.A.,11.513,21.737
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,978.674,937.906
SCHULZ S.A.,166.249,175.696
SER EDUCACIONAL S.A.,2.429.560,2.503.973
SIDERURGICA J. L. ALIPERTI S.A.,8.876,14.818
SINQIA S.A.,38.157,40.309
SLC AGRICOLA S.A.,730.385,584.1
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,234.764,506.779
SMILES FIDELIDADE S.A.,666.57,740.188
SONDOTECNICA ENGENHARIA SOLOS S.A.,10.11,15.973
SPRINGER S.A.,0,0
SPRINGS GLOBAL PARTICIPACOES S.A.,3.224.044,3.384.315
STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS,220.135,267.032
STATKRAFT ENERGIAS RENOVAVEIS S.A.,2.244.231,2.229.575
SUDESTE S.A.,0,0
SUL 116 PARTICIPACOES S.A.,0,0
SUL AMERICA S.A.,1.673.300,1.818.367
SUZANO HOLDING S.A.,4.978.869,4.029.621
SUZANO S.A.,53.932.644,99.347.076
T4F ENTRETENIMENTO S.A.,681.871,629.63
TAURUS ARMAS S.A.,921.156,1.084.833
TCP TERMINAL DE CONTEINERES DE PARANAGUA SA,281.119,266.187
TECHNOS S.A.,792.471,783.533
TECNISA S.A.,1.936.500,1.893.360
TECNOSOLO ENGENHARIA S.A.,727,0
TEGMA GESTAO LOGISTICA S.A.,809.433,993.224
TEKA-TECELAGEM KUEHNRICH S.A.,16.434,14.017
TEKNO S.A. - INDUSTRIA E COMERCIO,9.961,20.032
TELEC BRASILEIRAS S.A. TELEBRAS,-115.726,-162.14
TELEFÔNICA BRASIL S.A,16.950.308,16.539.428
TERMELÉTRICA PERNAMBUCO III S.A.,20.834,31.894
TERMINAL GARAGEM MENEZES CORTES S.A.,21.838,20.389
TERMOPERNAMBUCO S.A.,204.67,233.094
TERRA SANTA AGRO S.A.,192.047,84.922
TEXTIL RENAUXVIEW S.A.,20.313,26.383
TIM PARTICIPACOES S.A.,31.957.889,38.910.409
TOTVS S.A.,2.391.277,3.598.169
TPI - TRIUNFO PARTICIP. E INVEST. S.A.,3.921.004,3.688.989
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,8.616.294,10.686.609
TREVISA INVESTIMENTOS S.A.,28.402,25.323
TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.,246.308,259.03
TRISUL S.A.,1.087.083,1.693.084
TRONOX PIGMENTOS DO BRASIL S.A.,159.606,108.908
TRUE SECURITIZADORA S.A.,5.242,8.165
TUPY S.A.,609.596,660.551
ULTRAPAR PARTICIPACOES S.A.,30.499.395,31.796.817
UNICASA INDÚSTRIA DE MÓVEIS S.A.,216.982,228.814
UNIDAS S.A.,417.05,587.862
UNIPAR CARBOCLORO S.A.,962.497,628.856
UPTICK PARTICIPACOES S.A.,0,0
